                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.9866,                 1.4813,                 2.6962,                0.61471,                    0.1,                0.14356,                0.03612,                 2.1974,                 3.3545,                 3.6568,               0.007228,               0.007228,               0.007228
                    142,                 1.8626,                  1.348,                 2.6002,                0.06352,                    0.5,                 0.0586,                0.02761,                  1.917,                 3.1418,                 3.1731,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.9366,                  1.607,                 2.5453,                0.06352,                    0.5,                 0.0586,                0.02761,                  1.917,                 3.1418,                 3.1731,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.7739,                 1.3184,                 2.5298,                0.09018,                    0.5,                0.10093,                0.03198,                 2.0467,                 2.8036,                 3.2651,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.9229,                 1.4144,                   2.54,                0.09018,                    0.5,                0.10093,                0.03198,                 2.0467,                 2.8036,                 3.2651,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.7579,                 1.2791,                 2.5632,                0.09925,                    0.1,                0.09597,                  0.034,                 2.2096,                 2.9502,                 3.2903,               0.007129,               0.007129,               0.007129
                    147,                 1.8615,                 1.3798,                 2.6039,                0.09925,                    0.1,                0.09597,                  0.034,                 2.2096,                 2.9502,                 3.2903,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.9009,                 1.4773,                 2.7108,                0.03358,                    0.9,                0.09161,                0.03523,                 2.1223,                 3.3307,                 3.1051,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.6974,                 1.3408,                 2.5123,                0.03358,                    0.9,                0.09161,                0.03523,                 2.1223,                 3.3307,                 3.1051,              0.0070696,              0.0070696,              0.0070696
                    150,                 1.8928,                 1.5287,                  2.538,                0.16117,                    0.2,                0.17633,                0.07086,                 2.3049,                 2.9811,                 3.2022,              0.0070498,              0.0070498,              0.0070498
